Emilio Sierra	11
G. Flores (E611032)	6
Orlando Bolanos	4
Judith Romero	4
Toti Rodriguez	3
Aguirre	3
Vicente Coronado	3
Mobile Talk	2
Carlos Murcia	2
adilio Castellanos (JAC)	2
Silvia Banegas Banegas	2
T A	2
Víctor Pacheco	2
Leslly Eguigurems	2
Elias Bueso	2
Juan Zelaya	2
Jesus Garcia	2
Angel Barrientos	1
Miguel Solis	1
Rudic Galeano	1
José gracias doctora por defender al pueblo Cruz	1
User Second	1
Jose Suazo	1
ricardo s	1
Jorge Rivera	1
hember Espinoza	1
Oscar Martinez	1
Soto H.	1
036hugo	1
negrito ojos claros justicia para honduras	1
yolany sagastume	1
Isaias Orellana Anariva	1
Capitan	1
Carlos García	1
Freddy Cruz	1
Marta baca Ordoñez	1
Cesar Hernandez	1
Gloria Ortez	1
Nohemi Padilla	1
Magie Wayne	1
Delmy Perez	1
Antonio Maldonado	1
Daniela Palacios	1
Eulalio Marquez	1
Wilber Sauceda	1
Darwin Alexis Medina Rosales	1
Jose Angel	1
MegaMusicka	1
Tomas Diaz	1
Jose Turcios	1
Ariel antonio Nuñez nuñez	1
Odilia Osorto	1
SARAHY GARCIA	1
Citizen Action TV	1
