LeM PirA	8
Kike Santos	7
Jesus Danilo Pereira	5
santitoscon89	5
Oswaldina Mejia	4
Juan Sanches	3
Carlos Andino	3
marco Flores	2
Maria Fuentes	2
Adalid Hernández	2
Francisco Ayala	2
Teo Enamorado Leiva	2
Jonathan Villareal	1
Gladys F	1
Eblin Longoria	1
J Vargas	1
León 21	1
Mujer Real	1
Jose Pacheco	1
Citizen Action TV	1
Alba Rivera	1
oscarleonel Urbina Ulloa	1
David Osorio	1
Denia Maldonado	1
Fred77	1
Porsileago Cuevas	1
Jacky La catracha	1
Enrique Monroy	1
gloria gloria	1
Samuel Rodriguez	1
Julio Garcia	1
Miriam Eskew	1
Jose Henrriquez	1
Obel Alberto	1
Gabriela Nunez	1
Dilcia Jara	1
Kenneth Nieto	1
edgardo salinas	1
cuervo HN	1
Omar Martimez	1
L. Caceres	1
Rosie Lee	1
Elmer anahel Sorto	1
New World Order	1
Juan Puchale,	1
Raul Garcia	1
Marvin Francisco Pavon nuñez	1
Jose Anibal Barahona	1
Juan carlos Hernández	1
Elvin Mayer	1
Ilsy Cruz	1
Marco Barahona	1
shayla brions	1
Dora Hernandez	1
Mary H.	1
Jose Paredes	1
Cesar Andres	1
Frances Padilla	1
Jhiret Cell	1
Juan Medina	1
Jose Ortiz	1
Zenaida Rodríguez	1
